Concepts	Question
automated essay scoring;neural summarization;social network extraction;neural machine translation;information extraction	I already know about automated essay scoring , neural summarization , social network extraction , neural machine translation and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
social media analysis;sentence simplification;word embedding;relation extraction;text mining	I already know about social media analysis , sentence simplification , word embedding , relation extraction and text mining.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
thesaurus-based similarity;multilingual word embedding;vector semantics;recommendation system;context free grammars	I already know about thesaurus-based similarity , multilingual word embedding , vector semantics , recommendation system and context free grammars.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
toolkits for information retrieval;social network extraction;social media analysis;citation networks;information extraction	I already know about toolkits for information retrieval , social network extraction , social media analysis , citation networks and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
document ranking;information retrieval;text mining;information extraction	I already know about document ranking , information retrieval , text mining and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
sentence simplification;semantic similarity;word sense disambiguation;linear discriminant analysis;kernels	I already know about sentence simplification , semantic similarity , word sense disambiguation , linear discriminant analysis and kernels.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
text mining;word sense disambiguation;information extraction	I already know about text mining , word sense disambiguation and information extraction.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
speech processing;speech synthesis;text to speech generation;speech signal analysis	I already know about speech processing , speech synthesis , text to speech generation and speech signal analysis.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
multilingual word embedding;syntaxnet;word embedding;word sense disambiguation;word embedding variations	I already know about multilingual word embedding , syntaxnet , word embedding , word sense disambiguation and word embedding variations.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
structured learning;context free grammars;course introduction;tsne	I already know about structured learning , context free grammars , course introduction and tsne.In the domain of natural language processing, what potential project can I work on? Give me a possible idea. Show me title, project description (around 150 tokens).
