Question,Answer
"In the domain of Natural Language Processing, I know about the concept of neural networks, now I want to learn about the concept of training neural networks, what concept path should I follow?",neural networks;training neural networks
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of neural language modeling, what concept path should I follow?",optimization;machine learning resources;semi-supervised learning;neural networks;neural language modeling
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of query expansion, what concept path should I follow?",linguistics basics;morphology and lexicon;query expansion
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of tsne, what concept path should I follow?",natural language processing intro;vector representations;structured learning;vector semantics;tsne
"In the domain of Natural Language Processing, I know about the concept of Unsupervised learning, now I want to learn about the concept of k means, what concept path should I follow?",Unsupervised learning;k means
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of kernels, what concept path should I follow?",natural language processing intro;vector representations;structured learning;vector semantics;kernels
"In the domain of Natural Language Processing, I know about the concept of information retrieval, now I want to learn about the concept of social network extraction, what concept path should I follow?",information retrieval;toolkits for information retrieval;information extraction;social network extraction
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of grammar checker, what concept path should I follow?",natural language processing intro;chinese nlp;grammar checker
"In the domain of Natural Language Processing, I know about the concept of heuristic search, now I want to learn about the concept of a* search, what concept path should I follow?",heuristic search;a* search
"In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of word sense disambiguation, what concept path should I follow?",structured learning;word distributions;vector representations;word embedding;word embedding variations;word sense disambiguation
"In the domain of Natural Language Processing, I know about the concept of computer vision, now I want to learn about the concept of nlp and vision, what concept path should I follow?",computer vision;nlp and vision
"In the domain of Natural Language Processing, I know about the concept of bilingual word embeddings, now I want to learn about the concept of unsupervised machine translation, what concept path should I follow?",bilingual word embeddings;monolingual word embeddings;unsupervised machine translation
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of prosody, what concept path should I follow?",linguistics basics;prosody
"In the domain of Natural Language Processing, I know about the concept of syntax, now I want to learn about the concept of first-order logic, what concept path should I follow?",syntax;penn treebank;first-order logic
"In the domain of Natural Language Processing, I know about the concept of penn treebank, now I want to learn about the concept of first-order logic, what concept path should I follow?",penn treebank;first-order logic
"In the domain of Natural Language Processing, I know about the concept of word embedding, now I want to learn about the concept of multilingual word embedding, what concept path should I follow?",word embedding;word embedding variations;multilingual word embedding
"In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of language modeling, what concept path should I follow?",probabilities;structured learning;word distributions;language modeling
"In the domain of Natural Language Processing, I know about the concept of Unsupervised learning, now I want to learn about the concept of neural parsing, what concept path should I follow?",Unsupervised learning;neural networks;neural parsing
"In the domain of Natural Language Processing, I know about the concept of random walks and harmonic functions, now I want to learn about the concept of semi-supervised learning, what concept path should I follow?",random walks and harmonic functions;semi-supervised learning
"In the domain of Natural Language Processing, I know about the concept of semi-supervised learning, now I want to learn about the concept of convolutional neural networks, what concept path should I follow?",semi-supervised learning;neural networks;convolutional neural networks
"In the domain of Natural Language Processing, I know about the concept of semi-supervised learning, now I want to learn about the concept of recursive neural networks, what concept path should I follow?",semi-supervised learning;neural networks;training neural networks;recursive neural networks
"In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of variational bayes models, what concept path should I follow?",probabilities;variational bayes models
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of memory networks, what concept path should I follow?",optimization;memory networks
"In the domain of Natural Language Processing, I know about the concept of semi-supervised learning, now I want to learn about the concept of recursive neural networks, what concept path should I follow?",semi-supervised learning;neural networks;training neural networks;recursive neural networks
"In the domain of Natural Language Processing, I know about the concept of search, now I want to learn about the concept of expert systems, what concept path should I follow?",search;logic and logical agents;expert systems
"In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of word sense disambiguation, what concept path should I follow?",vector representations;structured learning;word distributions;word embedding;word embedding variations;word sense disambiguation
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of knowledge representation, what concept path should I follow?",linguistics basics;knowledge representation
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of semi-supervised learning, what concept path should I follow?",machine learning resources;semi-supervised learning
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of computational phonology, what concept path should I follow?",linguistics basics;computational phonology
"In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of word embedding variations, what concept path should I follow?",machine learning resources;word embedding;word embedding variations
"In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of multilingual word embedding, what concept path should I follow?",linguistics basics;word embedding;word embedding variations;multilingual word embedding
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of edit distance, what concept path should I follow?",natural language processing intro;edit distance
"In the domain of Natural Language Processing, I know about the concept of evaluation of language modeling, now I want to learn about the concept of text generation, what concept path should I follow?",evaluation of language modeling;text generation
"In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of memory networks, what concept path should I follow?",optimization;memory networks
"In the domain of Natural Language Processing, I know about the concept of summarization evaluation, now I want to learn about the concept of scientific article summarization, what concept path should I follow?",summarization evaluation;scientific article summarization
"In the domain of Natural Language Processing, I know about the concept of latent variable models, now I want to learn about the concept of expectation maximization algorithm, what concept path should I follow?",latent variable models;expectation maximization algorithm
"In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of Meta-Learning, what concept path should I follow?",loss function;machine learning resources;Meta-Learning
"In the domain of Natural Language Processing, I know about the concept of information retrieval, now I want to learn about the concept of document ranking, what concept path should I follow?",information retrieval;document ranking
"In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of feature selection, what concept path should I follow?",natural language processing intro;feature selection
